,Title,Score,Comment
0,더 킬러: 죽어도 되는 아이,7,여러장르가 섞여있는데 장혁이 그걸 담을 만한 연기가 부족함.
1,대무가,10,색깔도 예쁘고 볼거리가 풍부했음.
2,서울괴담,1,공포와 다른 무언가 다 놓친 느낌.
3,여인의 향기,10,편하지만 자신의 이익만 쫓는 그릇된 신념으로 얼룩진 하인간 투성이인 사회 속에서 힘들지만 나약하고 비겁하지 않는 참된 신념으로 가득찬 상인간의 삶을 살아가게 용기를 주는 영화네요. 오늘 밤은 존 다니엘 한잔합시다. 후~아!!
4,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",10,보고 영화관에서 눈물 실컷 흘렸어요..
5,배드 럭 뱅잉,8,생각보다 나쁘지는 않았다.
6,교섭,5,이게 정말 실화라고? 정말 우리나라에 이런 협박영상을 보내 당황감을 줫다고...? 미국이라면 모를까 우리나라에도 이런일이 있었다는게 믿어지지 않는...
7,컴온 컴온,10,생각보다 더 눈물이 많이 남.
8,6번 칸,7,시리도록 차가운 바람에도 한줌의 온기를 머금고 간다.
9,샤잠! 신들의 분노,7,요즘 마블보다는 DC가 더 무난한 편
10,에브리씽 에브리웨어 올 앳 원스+,1,평점 5점이상 줄 수 없는 영화.아카데미 이해안간다.
11,애프터썬,9,알고 싶은 기억과 믿고 싶은 기억의 감정선들...
12,다음 소희,9,실화 기반이라서  그런지 안타깝네요...정부 교육부 학교 교사 기업 다 문제고요 여러 문제점들이 개선될때까지는 실습제도를 당분간 금지시켜야 할거 같습니다
13,극장판 검정고무신 : 즐거운 나의 집,1,검정고무신 4기때부터 이상하다 싶었는데위키 보니까 이미 그때부터 형설이 멋대로 했다고 하네요결국 작가님은 떠나시고… 이 회사가 이후로 또 멋대로 기영이 기철이 캐릭터 상품화 해서 낸다면 그건 진짜 악마보다 더하는 행동임.진짜 별 한개도 아깝다! 작가님 살려내라!
14,에브리씽 에브리웨어 올 앳 원스+,9,과거든 현재든 미래든 모든것은 의미없는 것은 없다...
15,소울메이트,10,아~~어느댓글을 보고 마지막장면이 감동이확몰려오네요ㅠ 자유를 찾은 널 잊지않을게~~
16,우아한 세계,10,먹고살기 힘든세상이라는걸 깨닫게 해준영화
17,무간도 IV - 문도,1,지금 티비에서 해서 보고있는데..와사비 레옹파트2처럼 제목가지고 장난친영화
18,기생충,9,한국에 서민들이라면 나또는 친구 지인들이 반지하서 사는분들이 꼭한분이 있었다...그래서 더 몰입되었고 충격이었다 마무리가 비약하다는분들이 있는데 난 엔딩이 너무 신선하고 봉감독이 천재라 느꼈다
19,스즈메의 문단속,10,짠한 ost가 좋았습니다.
20,스즈메의 문단속,8,캐릭터들의 개연성이떨어지다보니 이야기에 집중을못하겠음. 큰그림을 단순히 대지진에 싸우는 소년소녀에 초점을맞추는게 통하는곳은 일본이지 한국은아닌듯.. 영상미는 여전히좋았지만 이번에도 너의이름은을 넘기지못한영화라는게 아쉬움
21,스즈메의 문단속,1,
22,샤잠! 신들의 분노,8,역시 기대 안하고 보니깐 볼만 한데 요즘 극장표 가격 생각하면 평점 낮추고 싶음ㅜㅜ
23,스즈메의 문단속,6,생각없이 보면 재밌음이게 맞나 싶지만 아무생각 없이 보면됨재미는 있음
24,스마트폰을 떨어뜨렸을 뿐인데,10,"신파가 어디있음..? cj계열 영화(ex. ㅂㄹㅋ)보다 신파 덜한데? 배우들 연기력도 좋고 스토리도 신박하고 재미있길래 평점 볼려고 검색했다가 놀람.. 안티 붙음? 충분히 있을법한 일이고 스마트폰을 소재로한 비슷한 영화인 보이스 (변요한, 김무열 출연) 보다 더 재미있게 봤음. 심지어 보이스는 영화관에서 봤고 이 영화는 집 티비로 빨리 감기 해서 봤는데도 불구하고 눈을 못뗐음 영화 괜찮은데? 마지막 찝찝함도 그렇고 충분히 좋았음"
25,아임 히어로 더 파이널,10,몰입도가 장난 아니었어요. 봐도봐도 지루하지 않고  지꾸만 생각나고 또 보고 싶어요. 지방이라 서울까지 가서 본 보람 있어요. 히어로는 사랑 입니다.
26,소울메이트,4,"원작 스토리가 갖고 있는 작위적이고 고전적인 단점들, 개연성의 부족과 반전의 허술함 문제를 그대로 답습하고 있고, 학창 시절 씬은 여행광고를 보는 듯한 유치함과 90년대에 안 어울리는 현대적 감성으로 가득하다. 무엇을 리메이크 했다는 건지 모르겠다. 김다미 연기는 아주 출중했고 전소니도 좋았다, 근데 변우석은 대사 처리가 많이 미숙."
27,스즈메의 문단속,6,영상미 좋긴한데 스토리를 커버할정도로 대단한건 모르겠다
28,바빌론,10,마고로비 진짜 존나 매력적인 배우임
29,사냥의 시간,2,참나 무슨 꽁트찍냐 이제훈 최우식을 데리고 이런 개잡스런걸 찍다니 .... 내용도없고 뭐 이런 영화가 있냐ㅋㅋㅋ 도박장터는게 이해가 1도 안가고 그냥 잡혀서 빨리 죽어라 이러고 봄
30,샤잠! 신들의 분노,7,그냥 딱 킬링타임용 영화. 기대를 내려놓고봐서 볼만했지만 1편에서의 유치함은 여전히 남아있음.
31,데시벨,7,캐스팅 담당자가 제일 열일한듯
32,이니셰린의 밴시,9,
33,스마일,1,고급식당가서 밥도 잘먹고 적당히 술도 잘마시다가 슬슬 취기 올라오면서 엉망이 되서 마지막엔 취해서 아무것도 못하고 끝나는 허무한 느낌..배우들 연기가 너무 아깝다.
34,양과자점 코안도르,4,빈말로도 좋다고하기 힘들지만 아오이의 리즈시절은 진짜 빛났다
35,이니셰린의 밴시,8,"이웃을 사랑하라는 기독교적 메세지의 폭력성에 대한 영화. 편협한 기독교 사상에 빠져든 상태에서 사랑에 대한 갈망, 욕구가 채워지지 않는다면 자살에 이르게 된다. 때로는 그것이 타인에 대한 지독한 폭력으로 나타난다. 내가 싫은걸 남에게 하지마라. 내게 좋은걸 남에게 하는건 폭력이 될 수 있다."
36,암수살인,8,범인을 잡는 기존의 형사물과는 달리 범인이 잡힌 상태에서 벌어지는 범인과 형사의 두뇌 대결이 참 인상적이다.
37,데시벨,4,진짜 좋은 배우들로 뭐한건지.. 스토리 무슨 80년대도 아니고 감독이 너무 촌스럽고 해군복 입히면 멋지겠지? 하고 쓴 중2병 걸린 학생이 쓴 스토리같음. 오직 차은우 얼굴만 볼만함
38,어떤 영웅,9,"띄워 올리고 깎아내리기의 정치, 영웅과 악당은 공용 계단 같아서 올라갈지 내려갈지는 선택의 문제이기도 하지만 시기의 문제이기도 하다. 불명예에 관해 말하려는 사람은 본인이 명예롭다는 것을 내보여야 하는데 그것은 그 자체로 불명예의 표시이다. 이곳의 작은 감옥은 큰 감옥의 파레르곤이다."
39,보이저스,3,천재 유전자는 어떨 땐 발현 되고 어떨 땐 퇴화 되는 선택적 요소인가? 15소년 표류기 스페이스판이 떠오르려다가 얘들의 바보같은 천재 설정이 어깨 잡아 내려 앉히네?
40,스즈메의 문단속,8,별을 쫒는 아이+ 너의 이름은 + 날씨의 아이= 스즈메의 문단속
41,살수,1,신현준으로 되겠냐??
42,똑똑똑,8,똑똑똑 재미있게 잘 봤습니다
43,곡성(哭聲),1,감독이 예술병에 걸렸나 떡밥도 적당히 던져야지 개찜찜하네
44,곡성(哭聲),1,감독이 예술병에 걸렸나 떡밥도 적당히 던져야지 개찜찜하네
45,소울메이트,10,소울메이트 재미있게 잘 봤습니다
46,아수라,10,이야 우리 시장님 진짜 무서운 분이셨네 ㅋㅋㅋ
47,더 메뉴,5,"상류층들의 지적 허영심을 신랄하게 비판하지만, 가장 웃긴 건 정작 영화 자체가 허세로 가득 차 있다는 점"
48,부산행,4,K좀비에는 역시 K신파지.. 올드한 아조씨 감성
49,샤잠! 신들의 분노,5,히어로 영화가 점점 별로네요
50,옆집사람,4,오동민 배우 연기 잘하네요
51,리멤버,10,좋아요 죽을 때까지 의용군.
52,날씨의 아이,10,"내게 소중한 사람이 맑음 소녀가 되어야 한다면 그 누구라도 호다카처럼 행동하지 않았을까 싶다. 적어도 난 그랬을 것이다. 결말이 세상을 위함이 아닌, 나와 너를 위해 이 미친 세상에 함께 살아가는 것이여서 좋았다."
53,더 퍼스트 슬램덩크,10,진심으로 추천합니다.
54,소울메이트,8,왜 이리 마음이 아프냐! 나는 너가되고 너는 내가 된다.
55,다음 소희,8,현실은 영화 보다 더 심하다는걸 알기에 더 답답하고 먹먹 했다 하지만 소희도 퇴직금이 50억이라면 버텼을것이다
56,퍼펙션,10,진짜 간만에 신선한 공포영화 너무 잘 봤음보고나면 기분 더러워지는 딱 내스타일 공포영화였음 공포영화는 원래 깔끔하면 안돼
57,카센타,10,뉴스 기사에서 보았는데 너무나 재미있게 표현해주셨어요
58,너의 이름은.,10,신카이 마코토 감독님의 역대 흥행 애니메이션인 너의 이름은. 많은 사람들이 선택한 데엔 이유가 있다. 보면서 감탄하는 영상미와 그 장면에 딱 떨어지는 래드윔프스의 ost는 그저 소름이 돋는다. Ost가 영화에서 얼마나 중요한 역할을 하는지 알 수 있는 영화.
59,헌트,2,
60,스즈메의 문단속,10,이번꺼도 그냥 말로 설명이 안될만큼 재밌지만 너의이름이 너무 대작이라서 이번껀 무난했음 근데 무난한거 치고는 또 재밌음 두번 이상 봐도 안질림
61,압꾸정,6,동석이형 원투펀치 날리는 한장면 빼곤 볼게 없음...
62,소울메이트,8,
63,타이타닉,10,중학교1학년때 극장에서 본 영화 다시 볼때마다 감동과 그리움이 전해진다.
64,아임 히어로 더 파이널,10,
65,아이 엠 어 히어로,3,그나라 갬성....ㅋ일본 찐따어른과 여고생
66,아이 씨 유,5,특이한 소재 하나로 승부 보려는 B급 영화
67,애프터 양,8,가족에 대해서 다시 생각해보는 계기가 되는 영화였어요.
68,마녀(魔女) Part2. The Other One,6,1편보고 너무 재밌었기 때문에 기대했는데 2편은 그냥 그랬어요
69,탑건: 매버릭,10,탑건 안봤는데 이번 영화 너무 재밌어서 예전꺼도 찾아봤어요
70,윤시내가 사라졌다,7,재밌게 봤어요. 나름 웃기더라구요
71,더 노비스,8,병적으로 노력하는 주인공보니 참 짠한 마음도 들었어요
72,버즈 라이트이어,6,어릴때 추억이 뿜뿜하는 영화였어요
73,위플래쉬,8,19일만에 촬영한 게 믿기지 않는 완성도였다. 내 안에 내재되어 있던 트라우마를 자극할 만큼 영화가 아닌 다큐로 느껴졌다.
74,헤어질 결심,10,진짜 너무 재밌었어요.
75,플레인,6,2023 .03.15 개봉
76,컴온 컴온,8,너무 감동적이였어요. 재밌게 봤어요
77,소울메이트,10,"정말 이쁘고 감동적이고 아름다운 영화입니다 험난한 과정을 거쳐 캐릭터와 하나가 되는, 사랑에 빠지는 느낌이 재대로 느껴집니다"
78,큐어,8,묘한 매력이 있는 영화였어요.
79,한산: 용의 출현,9,영화가 조용조용한데 그래도 너무 재밌고 마지막 전투 장면이 재밌었어요
80,킹덤스쿨-절대악-,2,할말이 없음..  이런게 후속작이 있다니..
81,트윈 픽스,7,영화만 봤더니 너무 이해가 안되더라구요. 알고보니 티비판이 있었...
82,로스트 도터,8,연기가 진짜 미쳤어요.
83,스즈메의 문단속,9,일본 대지진의 피해자들을 위로하는 내용을 판타지로 풀어서 여러 세대가 즐길 수 있게 만든 느낌이었습니다.. 너무 불쌍하고 슬프더라구요
