,Title,Score,Comment
0,듄,1,대놓고 2편의 예고편....나중에 2편나올때 케이블에서 다시보면될정도...
1,라스트 듀얼: 최후의 결투,6,난또 라스트제다이 스핀오프편인줄 알았네..ㅡㅡ
2,그래비티,10,단순한 우주재난 영화가 아닌 '죽음과 삶'이라는 주제를 담고 있는 영화.. 최고의 인생영화입니다.
3,프리 가이,10,큰 기대 없이 지나가다가 TV에서 광고만 보고 재밌겠다 싶어서 봤는데 ㅋㅋㅋ 생각보다 더 재밌었어요 ㅋㅋ 지루하지도 않고 깨알 유머 포인트도 있어서 넘 만족했습니다
4,듄,10,'두려움은 마음을 죽인다. 두려움이 사라지면 나만 오롯이 남는다.' 이미 다음편이 기대됩니다.
5,군함도,1,"억지다 역겹네;'',,;; ;"
6,군함도,1,"억지다 역겹네;'',,;; ;"
7,라스트 듀얼: 최후의 결투,10,리들리 스콧 감독 영화라고 해서 봤는데 프리가이에 나왔던 조디 코머도 나와서 반가웠어요 ㅋㅋㅋ 캐릭터 변신이 진짜 대박..  중세 시대 이야기지만 와닿는 부분이 참 많아서 이 영화는 꼭 극장에서 보시는 걸 추천합니다!!
8,듄,10,시각과 청각의 음미만으로도 감칠맛이 넘친다..
9,베놈 2: 렛 데어 비 카니지,1,쿠키랑 베놈에디 투닥거리는거 봐서 1점이다...
10,투 러버스,9,"등잔 밑이 어두웠던 한 남자의 사랑, 그 남자의 마음을 환희 비춰주고 있었던 한 여자의 사랑, 제자리를 찾은 반지와 장갑. 마지막 엔딩의 포옹처럼 상처와 결핍들의 시린 마음을 따스하게 안아주는 영화. 예상되던 엔딩에 예상되지 못한 잔잔한 감동의 물결."
11,그래비티,10,"중력에서 한 걸음을 걷기 위해서라면, 의지할 곳 없는 발버둥도 긍정할 수 있는 생."
12,크롤,8,보트 구하는 장면만 없었어도 좋았을텐데... 그 부분은 주인공 일행이 점점 사리분별 못하게 됐다는 거 말곤 보여준게 없다...ㅋ 연출은 참 좋았음... 에필로그같은 게 있었으면 더 재밌었을듯
13,노회찬6411,10,어려운 사람들을 위해 헌신하고 고민했던 분을 더 이해할 수 있게 되었습니다.
14,듄,8,"장엄하고 광활하며 고혹적인 ""스페이스-데저트 오페라"". ""영화적 체험""이라는 측면에서 아이맥스의 존재 가치를 확실히 입증한다."
15,라스트 듀얼: 최후의 결투,10,리들리 스콧의 연출력과 배우들의 연기력 때문에 정말 집중하면서 봤어요. 극장에서 봐야 확실히 더 몰입감 있게 볼 수 있는 영화일 것 같네요.
16,1987,10,잘 만든 영화.  진짜 개돼지들이 누구인지 자각할 수 있도록 나라의 주인인 시민 하나하나는 주인 노릇을 제대로 해야한다. 감시하자. 종이 주인을 또 물지 않도록.
17,봄 여름 가을 겨울 그리고 봄,10,내 과업에 대한 이야기. 결국 돌고 돈다. 너무 노여워 말자.
18,듄,1,개노잼 ㄹㅇ 개노잼 씹노잼
19,듄,6,배경지식 없이 보니 갸웃하며 전개가 산만함.영상미는 좋으나 간혹 어둡다 갑자기 장면이 밝아져 눈뽕을 날리는 화면 전환이 산만해 몹시 거슬렸다.해리포터나 반지의 제왕이 띵작인 이유를 새삼 다시 느낀다.
20,듄,7,초반 확 사로잡는 몰입감이 없어서 잠깐 잠깐 졸렸으나 중후반부터는 재밌게 보았다전체스토리의 초반부라 다음 후속편을 보아야 전체적인 흐름과 재미를 느낄 수 있을 것 같다
21,노매드랜드,10,21년에 봤던 영화 중 최고
22,듄,8,역시 용아맥에서 봐서 그런지 사운드나 영상미가 압도적임. 지루하면 어떻하지 했는데 의외로 몰입되고 액션씬도 짧지만 볼만했음. 다음작이 매우 기다려 지네요. 007보다 볼만해요
23,베놈 2: 렛 데어 비 카니지,7,러닝타임 짧게 만든 게 정말 좋은 선택. 쿠키 맛있게 잘 먹었습니다..
24,듄,1,드니 발로 만든 뇌????
25,경고,5,오해로인해 빚어진 참극... 흠 무얼말하고싶은걸까? 아직 모르겠다
26,듄,10,올해 본 영화 중 단연 최고드니 영화는 언제나 기대하게 된다.2편도 제발 드니 빌뇌브가 맡길 바란다.
27,베놈 2: 렛 데어 비 카니지,6,고만고만한 타임킬링용 히어로물
28,초속5센티미터,10,"영화와 함께 감정이 쏟아지는 두 고점을 지나다보면, 어느덧 엔딩 음악을 들으며 지금껏 꽉 막혀있던 카타르시스가 솟구치는 눈물과 함께 찾아온다. 현실속 막힌 감성의 길을 트여주는 영화."
29,베놈 2: 렛 데어 비 카니지,8,재미 없다는 평점 믿지마라. 봐라 두번 봐라. 어정쩡한 한국영화 보는거보다 수십배 낫다.베놈 캐릭터 존멋이다 레알
30,베놈 2: 렛 데어 비 카니지,2,알바생도 아니고 방금 보고 나왔는데 진짜 재미없어요. 비추 ㅜㅜ
31,카이지,6,"스토리는 괜찮은데 일본 특유의 오글거림, 필요이상의 신파적인 부분을 극복해야 볼수있음 ㅋㅋ"
32,노회찬6411,1,ㅋㅋㅋ우하하ㅋ..ㅋㅋ풉프프픞 그냥 웃음만 나온다
33,베놈 2: 렛 데어 비 카니지,6,울음소리 목소리 모델링 다좋았는데 진짜 아쉽다 .. 일회용으로 버린느낌 심지어 배우까지 좋았는데 보여줄것도 60프로는보여준듯 인터넷연결도 보여주고 근데 영화자체가 유치해져가지고 너무아쉬웠다 영화가 진행이 빨라서 나름괘찮은데 유치한부분이 중간중간 많아서 좀그럼 애초에 스파이디없는 세상에 베놈인거부터가 무리가있는데 그래도 재미는있음 7점은 절대안되고 6정도는됨 카니지 첫스크린인것만해도 의미는 있음
34,십개월의 미래,10,꼭 봐야할 영화!
35,듄,10,올해의 영화였다...  캐띵작
36,베놈 2: 렛 데어 비 카니지,6,새로움은 없었지만 재미와 센스는 여전해서 좋았던
