Title,Score,Comment
외계+인 1부,4,와 잘잤다 잠오는 영화 감사합니다
비상선언,2,너무 뻔한 영화 보다가 중간에 나왔습니다
중경삼림,10,나에게 불멸의 로맨스 영화를 고르라고 한다면
사랑할 땐 누구나 최악이 된다,9,성장스토리
탑건: 매버릭,10,그냥 레전드입니다 ㄹㅇ
한산: 용의 출현,10,거북선이 종횡무진으로 왜선을 쳐부술때의 그 쾌감이 짱!!!! 이순신역의 박해일 배우는 정말 잘 어울립니다
큐어,7,밑바닥까지 가게 된다면 더욱 서늘하고 무서울지도
육사오(6/45),10,ㅋㅋㅋ걍 생각없이 보고왔는데 개욱겼네여 푸하합
불릿 트레인,6,브래드 피트.. 이 영화로 내한했어야만 했을까?
천장지구,10,유덕화 청자켓 말보루 지퍼라이타 명동중앙극장 내청춘
외계+인 1부,4,와 잘잤다 잠오는 영화 감사합니다
비상선언,2,너무 뻔한 영화 보다가 중간에 나왔습니다
중경삼림,10,나에게 불멸의 로맨스 영화를 고르라고 한다면
사랑할 땐 누구나 최악이 된다,9,성장스토리
탑건: 매버릭,10,그냥 레전드입니다 ㄹㅇ
한산: 용의 출현,10,거북선이 종횡무진으로 왜선을 쳐부술때의 그 쾌감이 짱!!!! 이순신역의 박해일 배우는 정말 잘 어울립니다
큐어,7,밑바닥까지 가게 된다면 더욱 서늘하고 무서울지도
육사오(6/45),10,ㅋㅋㅋ걍 생각없이 보고왔는데 개욱겼네여 푸하합
불릿 트레인,6,브래드 피트.. 이 영화로 내한했어야만 했을까?
천장지구,10,유덕화 청자켓 말보루 지퍼라이타 명동중앙극장 내청춘
놉,6,나는 계속 땅을 보며 고개를 떨구게 되는 스토리라인
육사오(6/45),4,이걸 보고 피식 거리는 게 스스로 킹받은 코미디극
헌트,8,부모님 예매해드렸는데 재밌게 보셨데요.
헌트,10,멋진사람들이 만든 멋진 영화
서울대작전,1,이건 뭐 분노의질주2 복사붙여넣기네 ㅡㅡㅋ
놉,1,감독이 BLM에 미쳐서 ㅈㄴ 쓸데없이 이야기 장황함
리미트,10,재밌어요~~~
외계+인 1부,2,알바들 개 10오지게 많네 ㅋㅋㅋ이딴게 7점대 ㅋㅋㅋㅋ아놔 다세포소녀 급임ㅋㅋ
헤어질 결심,10,언제나 느끼는 거지만 박찬욱의 연출법은 정말 한결 같은데도 여전히 좋다... 2022년 유독 기대치에 못미친 영화들이 많았는데 그래도 헤어진 결심이 있어서 다행이라고 생각된 한해네요...
리미트,7,"나름 완성도가 높다. 흔한 아동유괴 소재라 큰기대 하지않고 보았으나, 구성이 짜임새있고 이정현이 돗보이고 원숙한 연기가 좋다. 모처럼 스릴러 다운 영화 완성도있는 작품이다."
육사오(6/45),10,은근 재밌어요 ㅋㅋㅋㅋ
당신은 이 글 속에 살아있다,10,원래 평점 잘 안 남기는데 웨이브에서 우연히 봤는데 생각보다 너무 재밌게 봤어요
헌트,10,재밌습니다 괜찮아요 우울한시대를 잘 그려냈어요
룸,10,아이가 처음으로 하늘을 올려다봤을때...그 벅참을 잊을수가없네요. 보면서 너무많이 울었어요. 영화의 내용은 화가나고 슬프지만 아이의 시점이라 좋았어요.
서울대작전,1,영화 끝나고 나오는 송민호와 개코의 랩이 제일 감칠나는 영화.
군함도,8,난 볼만했음..ㅋㅋㅋ
레옹,10,인생 최고의 영화영화 레옹을 보지 않은 자와 사랑을 논하지마라
헌트,10,"굿!!! 연출,연기 좋아요"
육사오(6/45),4,솔직히 그렇게 웃기진 않음 젊은 사람들이 보기에는 안맞는 감성임 옛날 가문의 영광 갬성임
라라랜드,10,갑자기 인생영화가 훅 들어옴예상치못함
외계+인 1부,10,난 재미 있던데 김우빈배우가 진짜 멋져 보였다
한산: 용의 출현,7,부모님 보여드렸는데 좋아하셨어요. 묵묵한 이순신 장군님ㅋㅋㅋ 역시 꼿꼿합니다.(ㅋㅋㅋ) 변요한 배우가 많이 고생했겠다고 하시네요
음양사 : 청아집,1,댓글에 여잔대요 어쩌구 있을때 걸렀어야 하는데 너무 과한 cg똥칠에다 스토리도 개똥 우리나라 여자들수준 진짜 대단해~
헌트,9,
브루클린,9,"배우들의 연기도좋았고 보는동안 주인공 입장에 몰입돼서 봤어요. 혼자 타지로나갔을때의 그 떨림, 첫연애의 설렘. 정말 재밌게봤어요. 영상미가 아름다워요."
놉,1,보지말아야할 영화를 봐버렸네.이따위로 영화 만들면 혼난다.영화인들 새겨들어~~~
헌트,10,같은 남자가 봐도 너무 멋있고 반할 것 같은 우성이형 ..
탑건: 매버릭,10,와 정말 꼭보셈.... 4DX로 꼭이요.... 쓰잘데기없는 영화들은 4DX로 상영한다고 상영관 뺏지말구 탑건 상영관잡아주셈요 제발.... 내리기 전에 극장가서 제발 4DX로 보세요 ㅠㅠ
헌트,10,고문기술자 패고 밟을때 통쾌함..고문기술자새끼가 목사질을 해처먹는 나라.어차피 픽션인데대머리새끼가 폭사해서 OOO장면이 더 멋졌을듯..
헌트,10,기대를 안했는데....대박 재밌었따
신세계,10,나의 힐링 무비 입니다. 무간도 양조위와는 완전 다르죠. 무간도 비슷하지만 다른 영화 입니다. 정말 좋아해서 몇번을 봐도 새롭네요
육사오(6/45),10,진짜 너무 웃기고 재밌어요영화관에서 웃음 참느라 죽을 뻔 했네요ㅋㅋ
공포분자,9,"시대를 초월하는 보편성, 세련됨 그리고 통찰력"
그을린 사랑,10,영화가 끝나고 바로 다시 또 봤어요. 처음봤을때는 조금 지루하게느껴졌던 장면들이 두번째볼때는 알고봐서그런지..보는내내 눈물이 펑펑쏟아졌어요. 충격이 큰 영화네요 가슴이 너무아파요.
한산: 용의 출현,1,"국뽕 B급 영화 이건 평점 사기다 알바 동원한거 아닌지 심히 의심스럽다 어설픈 연출, 너무나 어색한 일본 말투에 발음, 이해는 한다만 어설픈 일본어 할바에 그냥 우리말로 하는게 낫지 않았을까"
불릿 트레인,8,원작자 이사카 고타로의 스타일을 알고 있다면 좀 더 재미있게 볼 수 있지 않을까 싶다.
헌트,10,베댓 다 공감가요 나름 잘 봤지만 대사가 잘 안 들려대사 해석한다고 영화에 집중을 못했습니다. 한국말인데실시간 번역자가 된 기분이었어요. 기승전결의 느낌보다 사건의나열만 줄줄 있는 기분이었어요 그래도 나쁘지 않은 영화였습니다.
타이타닉,10,영화중에 최고인 영화...
씨비스킷,6,감동적이고 배울점은있다 단 지루한부분있어서 아쉽
1917,10,진짜숨죽이면서봤다 대체  언제편집한거냐
불릿 트레인,7,주연보다 조연이 더 잘보였습니다어르신들의 검투 장면이 이 영화의 킬링 포인트가 아니였나 생각해봅니다
빈 집,3,이승연이 연기를 못한다는 것과 소재가 은근 안방드라마라는 것.포스터가 <사마리아>급 어그로란 것.
한산: 용의 출현,5,하~~ 평점이 너무 높은듯. 명량보다 더 지루했다.
비상선언,1,감독사마의 편협한 가치관을 억지로라도 관객에게 주입시키려는 쓰레기 졸망 돈덩어리 발암물질. 각본을 보고도 캐스팅에 응한거라면 배우들도 문제있는거라고 봄
서울대작전,10,"연출,연기,음악 다 좋음 재미있음.80년대후반과 90년대 초반.. 잘 표현 되었어요."
탑건: 매버릭,10,10점이 아니라 100점 1000점 무한점 주고싶다
승리호,1,아... 내 시간...
밥정,10,
썬다운,9,"이방인에 대한 오마주, 불안과 권태에 대한 세상에 순응과 부조리의 저항이 맞물리며 충돌한다. 닐의 눈물의 의미를 적확하게 볼 필요가 있다."
사라진 탄환,8,프랑스 영화치고 전개 빨라서 좋음.근데 결말 왜 이래 ㅠ
서울대작전,10,재미있는 영화  이야기 입니다
서울대작전,8,제가 이상한걸까요? ㅎㅎ 저는 나름 재미있게 보았습니다. 다들 연기를 잘 하셔서 지루하지 않게 잘 보았어요.^^
리미트,2,길게 말할것도 없음 노잼! ㄴㅈ
외계+인 1부,7,"복잡한 척 보이지만, 결국 예측 가능한 스토리로 흐른다. 수많은 배우들과 제작비를 낭비한 느낌은 지울 수 없다. 과유불급!"
그레이 맨,10,시간 후딱가는 그런영화 ㅋㅋ라이언고슬링 배우 너무 멋있어서 안보고 미뤄뒀던 라라랜드도 봄 ㅋㅋ 라라랜드 보기전에는 남자배우가 무명인가? 하고 흥미가 없었는데 매력을 알고보니 영화재미가 배로 다가오더라구여~
육사오(6/45),10,저 혼영했는데ㅋㅋ가볍게 보기 넘 좋더라고요웃겨서 웃음소리 내며 봣어요
공작부인: 세기의 스캔들,10,일라이자가 제일 안타깝네요.. 조지아나랑 그레이도 안타깝지만.. 결국 이해관계에 의한 슬픈 해피엔딩 같아요..
탑건: 매버릭,9,2D로 보고 멋있어서 4D로 재관람했어요.
불릿 트레인,8,"형제가 너무 매력적이다, 브래드 피트는 생각보다 눈에 안띄고 B급 액션느낌이라 별 기대안했는데 만족스러운 영화였다. 배경이 흠이라면 흠"
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,
헤어질 결심,10,상대와 헤어질 결심을 함으로써 상대에게 영원히 남는다.
헌트,10,또 한 번 봐야겠어요... 배우들 연기도 좋았고 시나리오 잘 썼네요.
서울대작전,1,네ㅔ 아니 무슨 열자를 쓰래
육사오(6/45),2,돈주고 보기는 ㅡㅡ 실망
육사오(6/45),1,개유치 노잼 보다나왔어요 짜증~
한산: 용의 출현,10,돈이 안아까웠음 영화관에서 보는걸 추천
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,독보적인 음색을 지닌 김호중님의 빛이나는 사람  팬들을 위해서 호중님의 자작곡인데요 듣기편안한 힐링노래 입니다^^
김호중 컴백 무비 빛이 나는 사람 PART 1. 다시 당신 곁으로,10,빛이나는사람  최고의   감동입니다 김호중  빛이나는사람    응원합니다
82년생 김지영,1,학교에서 선생님이 보여주셨는데 정말 남자만 쓰레기로 만들고 보는내내 집중안되고 우울하고 그냥 화장실간다면서 교실 안들어가고 싶었어요.
국제시장,10,이거보고 안울면 한국사람 아님
헌트,10,정말정말 잼나게 잘봤어요~!!연기도 정말 잘함!!
육사오(6/45),10,기냥 큰소리로웃을수있어 좋았어요
탑건: 매버릭,10,
베놈 2: 렛 데어 비 카니지,10,마블중에 제일 매력있는 캐릭터
서울대작전,1,내가 투자자면 고소함 ㅅㄱ
국제시장,10,너무 잘 만든 영화눈물 주루륵
비상선언,1,
헌트,8,초반 중반 전반적으로 대사가 너무 안들려서 노치지 않게 신경쓰느라 힘들었지만 잼있어요 다시 한 번 더 보라는 마케팅????
탑건: 매버릭,10,딴 생각  없이 집중 하게 됨
점퍼,1,쓰레기같은 영화. 팔라딘을 주인공으로 했어야하는거 아닌가?
한산: 용의 출현,10,이순신 장군의 학익진을 보면서 굉장히 대단하고 멋있다는 생각에 가슴이 웅장해졌어요.. ㅎㄷㄷ 이거 진짜 영화관에서 한번쯤 보시는거 추천드려요!
시맨틱 에러: 더 무비,10,여름에 만난 기적같은 에러
서울대작전,2,ㅎㅎ 대단하다 기획부터 망하기 위해서 만든영화는 첨 보네..
원 컷 - 어느 친절한 살인자의 기록,8,김꽃비에서거름 연기괜찬던데 갓내들 평점참여수가 항상 많냐? 영화마다 부정적인마인드들 워마드 메갈 같은 벌레가튼존재들 영화도볼줄모르는것들
신의 분노,2,신이란 존재에 대입하여 범죄 저지르는 성범죄자의 자기연민 가득한 영화.
가문의 위기 - 가문의 영광 2,10,mz 어린이 분들 눈에는 이 영화가 많이 어려운가 보네...평점 허허허
리미트,5,재미있게 관람했습니다 감사합니다!
외계+인 1부,10,스토리도 괜찮고 연출도 좋았음. 한국영화에서 이런 시도는 아주 좋다는 생각이 듬. 대사는 좀 안들리는 감은 있음. 2부가 매우 기대 됨.
탑건: 매버릭,10,1편보고 오면 더 레전드많은 말 필요없이 그냥 봐야된다고 생각이 드는 영화 역대급 영화
탑건: 매버릭,10,보고 가슴 뜨거워졌으면 개추 ㅋㅋㄱㅋ
한산: 용의 출현,10,
사랑할 땐 누구나 최악이 된다,10,결국 율리에는 모든 여자들의 마지막 미션인 아이마저 제대로 마치지 못하고 나서야 제대로 된 인간으로 우뚝 선다. '세상에서 제일 나쁜 여자'가 되고 나서야 비로소 인간이 되었다. 젠더로 가르지 말고 제발 동등하게 봐 달라는 감독의 외침이 여기까지 들리는 것 같다.
정무문,10,이소룡 다시 그리워하고 또 영화를보면 제일 떠올리는게 이소룡 다시 부활해서 활영에 나온다면 좋을텐데 넘 그립습니다^^
육사오(6/45),10,조조로 보는데 빵빵터짐... 배우들의 연기가 미쳤다. 조조 좋아~~
모비우스,2,쿠키봤는데. .실망스럽네요... 더배트맨이나 더볼래요..
헌트,9,"처음부터 끝까지 바쁜 영화. 한 템포 쉬어가는 부분이 있었으면 더 좋았을듯! 대사가 잘안들리는 부분도 있긴 하지만, 발음으로만 연기하는건 아니니까.."
서울대작전,1,클레멘타인급으로 재미있으니 꼭 보셔요
